City_ID,City,Country,Max Temp (F),Current Description,Lat,Lng,Hotel Name
1,Panabá,MX,79.56,broken clouds,21.2833,-88.2667,Posada rosario
6,Buchanan,LR,76.3,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
14,Erbil,IQ,75.92,clear sky,36.1926,44.0106,Erbil International Hotel
15,Alofi,NU,77.63,light rain,-19.0595,-169.9187,Taloa Heights
23,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Sakakah,SA,77.68,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
29,Rikitea,PF,74.01,clear sky,-23.1203,-134.9692,People ThankYou
30,Bengkulu,ID,80.98,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
31,Bubaque,GW,81.46,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
35,Gurupi,BR,82.18,clear sky,-11.7292,-49.0686,Via Norte Hotel
37,Butaritari,KI,83.26,clear sky,3.0707,172.7902,Isles Sunset Lodge
41,Namatanai,PG,83.12,light rain,-3.6667,152.4333,Seagulls Inn Namatani
53,Kavieng,PG,84.04,light rain,-2.5744,150.7967,Nusa Island Retreat
58,San Andrés,CO,82.8,light rain,12.5847,-81.7006,Hotel Arena Blanca
59,Tiarei,PF,80.62,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
61,Cururupu,BR,74.12,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
67,Pauini,BR,74.55,few clouds,-7.7136,-66.9764,Casa do Kiwliks
68,Georgetown,SH,74.95,overcast clouds,-7.9333,-14.4167,Scout's Beach Hut Campsite
75,Kalāleh,IR,73.8,clear sky,37.3807,55.4916,عطر و ادکلن پارسیس
76,Sabang,ID,80.51,moderate rain,5.8933,95.3214,Hotel Citra
81,Garoowe,SO,75.27,overcast clouds,8.4054,48.4845,Curubo Hotel
85,Hithadhoo,MV,83.1,scattered clouds,-0.6,73.0833,Scoop Guest House
86,Saint George,BM,80.74,clear sky,32.3817,-64.6781,The St George's Club & Resort
87,Becerril,CO,74.62,overcast clouds,9.7041,-73.2793,Barrio El Carmen
90,Pitimbu,BR,75.65,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
91,Domoni,KM,74.43,overcast clouds,-12.2569,44.5319,Al Djadid
104,Atuona,PF,78.24,few clouds,-9.8,-139.0333,Villa Enata
105,Faanui,PF,78.53,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
114,São João da Barra,BR,74.37,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
116,Acapulco de Juárez,MX,79.41,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
124,Hilo,US,78.53,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
129,Kahului,US,77.97,light rain,20.8947,-156.47,Maui Seaside Hotel
131,Altamira,BR,76.86,broken clouds,-3.2033,-52.2064,Requinte Hotel
139,Carnarvon,AU,82.92,clear sky,-24.8667,113.6333,Hospitality Carnarvon
141,Liberal,US,84.47,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
143,Buraidah,SA,77.05,clear sky,26.326,43.975,فندق راحة السلام
145,Presidente Epitácio,BR,83.41,scattered clouds,-21.7633,-52.1156,Hotel Itaverá
147,Port Blair,IN,83.91,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
149,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
153,Ponta do Sol,CV,80.38,overcast clouds,17.1994,-25.0919,Residencial Ponta do Sol - Sintanton Trekking i
158,Mackay,AU,80.04,few clouds,-21.15,149.2,International Lodge Motel
161,Nabire,ID,82.67,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
162,São Filipe,CV,79.47,overcast clouds,14.8961,-24.4956,Hotel Xaguate
164,Gwadar,PK,80.6,few clouds,25.1216,62.3254,Sadaf Resort
165,Santa Maria,CV,77.59,overcast clouds,16.6,-22.9,Porta Do Vento
169,Balikpapan,ID,83.73,scattered clouds,-1.2675,116.8289,ibis Balikpapan
171,Linden,GY,74.03,overcast clouds,6.0,-58.3,Crimson Bat Hotel
173,Diffa,NE,81.82,few clouds,13.3154,12.6113,ProDAF/Diffa
174,Cockburn Town,BS,83.59,clear sky,24.0333,-74.5167,Club Med Columbus - Bahamas
177,Buala,SB,83.19,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
178,Sola,VU,78.69,broken clouds,-13.8833,167.55,Leumerus Bungalows
182,Lamu,KE,77.22,clear sky,-2.2717,40.902,Lamu House
184,Malé,MV,82.76,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
192,Salalah,OM,79.29,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
195,Itoman,JP,84.22,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
196,Wajima,JP,75.72,clear sky,37.4,136.9,Wajiima Onsen Yashio
199,Daru,PG,78.24,overcast clouds,-9.0763,143.2092,Daru Lodge
200,Río Hato,PA,77.77,overcast clouds,8.3833,-80.1667,Posada Acuarela Farallón (Panamá)
201,Nushki,PK,79.41,clear sky,29.5542,66.0215,Shams hotel
203,Hamilton,BM,81.0,clear sky,32.2915,-64.778,Coco Reef Resort Bermuda
210,Finschhafen,PG,81.77,overcast clouds,-6.6024,147.8681,Cossam Guest House
211,Bom Jesus,BR,74.8,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
225,Victoria,SC,78.64,broken clouds,-4.6167,55.45,Sunset Beach Hotel
233,Hasaki,JP,79.2,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
235,Kumul,CN,83.19,clear sky,42.8,93.45,Laoyutang Resort
237,Cabedelo,BR,76.03,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
239,Kangaba,ML,74.52,few clouds,11.9333,-8.4167,Hôtel Mandé
240,Piaçabuçu,BR,73.33,few clouds,-10.4056,-36.4344,Piaçabuçu News
242,Assiut,EG,79.12,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
247,Salinópolis,BR,79.12,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
249,Grand-Santi,GF,74.28,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
253,Biak,ID,82.11,broken clouds,-0.9131,122.8766,Penginapan Kim
254,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
255,São Borja,BR,75.29,light rain,-28.6606,-56.0044,Hotel Executivo
257,Luganville,VU,78.91,broken clouds,-15.5333,167.1667,The Espiritu Hotel
262,Taree,AU,83.07,clear sky,-31.9,152.4667,All Seasons Country Lodge Taree
269,Libreville,GA,78.82,scattered clouds,0.3925,9.4537,Hotel Re-Ndama
270,Rondonópolis,BR,81.43,clear sky,-16.4708,-54.6356,Serras Hotel
271,Caucayá,CO,75.67,broken clouds,-0.1934,-74.7819,la casona de juancho
274,Zhangye,CN,74.01,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
275,Nagato,JP,80.08,clear sky,34.3833,131.2,いそう庵
278,Cândido Mendes,BR,74.52,overcast clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
279,Kirakira,SB,83.23,overcast clouds,-10.4544,161.9205,SanBiz Lodge
281,Meulaboh,ID,79.54,overcast clouds,4.1363,96.1285,Kost Pria
282,Sur,OM,83.03,clear sky,22.5667,59.5289,Sur Plaza Hotel
283,Kushima,JP,82.83,broken clouds,31.4583,131.2333,Hanaoka
297,Plátanos,GR,75.76,clear sky,37.6667,21.6167,Hotel Kronio
298,Oodweyne,SO,74.64,few clouds,9.4092,45.06399999999999,Eng Hiirey House
300,Baní,DO,76.78,clear sky,18.2833,-70.3333,Hospedaje Henriquez
301,Puerto Escondido,MX,80.4,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
303,Frankfort,US,74.37,broken clouds,38.2009,-84.8733,"Holiday Inn Express & Suites Frankfort, an IHG Hotel"
304,Kimbe,PG,84.27,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
308,Makkah al Mukarramah,SA,84.13,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
312,Ulladulla,AU,76.1,clear sky,-35.35,150.4667,Sandpiper Motel
313,Hendersonville,US,73.49,overcast clouds,36.3048,-86.62,Hyatt Place Nashville/Hendersonville
314,Revadanda,IN,77.0,scattered clouds,18.5503,72.9278,OYO 22032 P P Motel
319,Pochutla,MX,79.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
320,Galle,LK,82.4,broken clouds,6.0367,80.217,Amangalla
322,Bucerías,MX,76.98,overcast clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
323,Lokoja,NG,73.42,light rain,7.8024,6.742999999999999,Hotel Charvid
324,Hervey Bay,AU,79.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
327,Saint-François,GP,75.16,clear sky,16.2526,-61.2741,La Cocoteraie - Guadeloupe (by Popinns)
329,Omboué,GA,74.79,overcast clouds,-1.5746,9.2618,Hotel Olako
331,Sarandi,BR,81.23,overcast clouds,-23.4436,-51.8739,HOTEL GRALHA AZUL (GAPH) - Maringá
335,Makakilo City,US,79.68,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
342,Snyder,US,82.74,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
347,Ghogha,IN,80.71,broken clouds,21.6833,72.2833,hanumanji temple of bhankhal
352,Alyangula,AU,83.48,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
353,Punto Fijo,VE,82.42,broken clouds,11.6956,-70.1996,Santa Fe Inn Hotel
357,Iquitos,PE,76.77,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
358,Garut,ID,76.95,scattered clouds,-7.2024,107.8878,favehotel
359,Soe,ID,83.91,few clouds,-9.8607,124.28399999999999,Dena Hotel
361,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
367,Noumea,NC,76.98,clear sky,-22.2763,166.4572,Hôtel Le Lagon
369,Waddān,LY,79.97,clear sky,29.1614,16.139,محل الشريف محمد العايب
370,Puerto Suárez,BO,78.89,clear sky,-18.95,-57.8,Hotel casa real
372,Uribia,CO,82.65,overcast clouds,11.7139,-72.266,Hotel Uribia
373,Katsuura,JP,77.11,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
376,Caucaia,BR,79.03,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
377,Korla,CN,81.46,clear sky,41.7597,86.1469,Gulisitan Hotel
379,Bairiki Village,KI,82.62,clear sky,1.3292,172.9752,Tarawa Boutique Hotel
381,Mareeba,AU,82.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
383,Touros,BR,76.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
384,Sinnamary,GF,79.5,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
385,Gladstone,AU,76.93,clear sky,-23.85,151.25,Highpoint International
390,Nishihara,JP,83.86,few clouds,26.1842,127.7558,Minshuku Agaihama
395,Ugoofaaru,MV,82.47,scattered clouds,5.6667,73.0,Ungoofaaru Inn
397,Kalmunai,LK,84.38,scattered clouds,7.4167,81.8167,VS Villa
398,Ōtake,JP,78.24,broken clouds,34.2,132.2167,Iwakuni Kokusai Kanko Hotel
401,Coahuayana Viejo,MX,76.68,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
402,Shingū,JP,81.91,broken clouds,33.7333,135.9833,Shingu UI Hotel
404,Kifrī,IQ,79.23,clear sky,34.6959,44.9661,میزان کفری
412,Tevaitoa,PF,78.71,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
414,Manicoré,BR,74.73,scattered clouds,-5.8092,-61.3003,Hotel Durval
415,Okmulgee,US,82.29,clear sky,35.6234,-95.9605,"Holiday Inn Express & Suites Okmulgee, an IHG Hotel"
416,São João do Piauí,BR,77.18,overcast clouds,-8.3581,-42.2467,Nayra Palace Hotel
417,Mitsamiouli,KM,75.88,clear sky,-11.3847,43.2844,Foyer ADM
419,Naze,JP,79.05,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
422,Santa Fe,CU,79.0,broken clouds,23.1292,-82.2613,Teresa y Fernando
428,Sulangan,PH,82.69,very heavy rain,11.1373,123.7228,Maia's Beach Resort
430,Iralaya,HN,80.08,few clouds,15.0,-83.2333,Iglesia morava renovada
431,Nuevo Progreso,MX,80.6,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
434,Toma,BF,75.76,few clouds,12.7667,-2.8833,Auberge de l'amitié
435,Port-Gentil,GA,76.53,overcast clouds,-0.7193,8.7815,Fengshui Residence
440,Namie,JP,83.71,scattered clouds,37.4833,141.0,いこいの村なみえ
442,Tarrafal,CV,79.59,overcast clouds,15.2833,-23.7667,Hotel Ixola
443,Aswān,EG,82.36,scattered clouds,24.0934,32.907,Nuba Nile
446,Marang,MY,83.52,overcast clouds,5.2056,103.2059,DBarakah Homestay
457,Brookhaven,US,75.24,few clouds,31.5791,-90.4407,Americas Best Value Inn Brookhaven
460,Baracoa,CU,80.46,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
462,La Santisima Trinidad,BO,83.44,overcast clouds,-14.8333,-64.9,Hotel Piesta
463,Puerto El Triunfo,SV,82.56,overcast clouds,13.2833,-88.55,Hotel Jardin
464,San Policarpo,PH,83.75,heavy intensity rain,12.1791,125.5072,Manong Aklan Resort
465,Coyote,MX,83.01,clear sky,25.7,-103.2667,Residencial La Acienda (Tino)
468,Wahiawā,US,80.92,light rain,21.5028,-158.0236,Aloha Wahiawa
472,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
478,Manokwari,ID,82.44,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
481,Wilmington,US,76.91,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
482,Carauari,BR,76.37,few clouds,-4.8828,-66.8958,Hotel Fellip
483,Nizwá,OM,81.18,few clouds,22.9333,57.5333,Orient Apartments
489,Miramar,MX,82.99,broken clouds,22.3333,-97.8667,City Express Tampico Altamira
490,Balsas,BR,84.56,broken clouds,-7.5325,-46.0356,Novo Hotel
492,Ishigaki,JP,83.68,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
