,City,Country,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Current Description
0,Saint-Philippe,RE,-21.3585,55.7679,63.99,80,43,12.77,light rain
1,Panabá,MX,21.2833,-88.2667,79.56,74,55,7.65,broken clouds
2,Mayo,CA,63.5927,-135.8998,39.7,71,39,1.97,scattered clouds
3,North Battleford,CA,52.7834,-108.2847,49.41,55,29,8.48,light rain
4,Ushuaia,AR,-54.8,-68.3,40.66,75,75,23.02,light intensity drizzle
5,Cidreira,BR,-30.1811,-50.2056,66.58,97,100,19.37,overcast clouds
6,Buchanan,LR,5.8808,-10.0467,76.3,87,100,5.99,light rain
7,Punta Arenas,CL,-53.15,-70.9167,41.11,70,20,18.41,few clouds
8,Yellowknife,CA,62.456,-114.3525,40.57,72,100,6.82,overcast clouds
9,Anadia,BR,-9.6844,-36.3042,71.33,96,38,4.72,scattered clouds
10,Sturgeon Bay,US,44.8342,-87.377,71.96,88,1,10.36,clear sky
11,Lebu,CL,-37.6167,-73.65,46.87,84,1,15.23,clear sky
12,Malartic,CA,48.1335,-78.1328,53.19,65,13,7.27,few clouds
13,Westport,NZ,-41.7526,171.6037,55.8,65,7,10.0,clear sky
14,Erbil,IQ,36.1926,44.0106,75.92,26,0,1.77,clear sky
15,Alofi,NU,-19.0595,-169.9187,77.63,72,3,5.28,light rain
16,Hermanus,ZA,-34.4187,19.2345,55.9,83,31,18.25,light rain
17,Manta,EC,-0.95,-80.7333,71.4,85,91,12.41,overcast clouds
18,Arraial do Cabo,BR,-22.9661,-42.0278,71.65,88,100,12.39,overcast clouds
19,Cherskiy,RU,68.75,161.3,36.27,46,99,9.86,overcast clouds
20,New Norfolk,AU,-42.7826,147.0587,52.92,68,49,5.99,scattered clouds
21,Komsomol'skiy,RU,43.9783,46.6985,62.6,76,95,1.95,overcast clouds
22,Sitka,US,57.0531,-135.33,52.63,81,42,2.86,scattered clouds
23,Kapaa,US,22.0752,-159.319,80.58,71,83,1.99,broken clouds
24,Chokurdakh,RU,70.6333,147.9167,33.85,55,81,10.16,broken clouds
25,Alihe,CN,50.5667,123.7167,62.19,48,15,3.53,few clouds
26,Thompson,CA,55.7435,-97.8558,52.66,76,88,11.43,overcast clouds
27,Sakakah,SA,29.9697,40.2064,77.68,20,0,3.02,clear sky
28,Bluff,NZ,-46.6,168.3333,61.81,68,98,14.43,overcast clouds
29,Rikitea,PF,-23.1203,-134.9692,74.01,77,10,13.0,clear sky
30,Bengkulu,ID,-3.8004,102.2655,80.98,71,46,1.95,scattered clouds
31,Bubaque,GW,11.2833,-15.8333,81.46,79,100,6.06,overcast clouds
32,Leh,IN,34.1667,77.5833,60.08,46,0,4.29,clear sky
33,Mar del Plata,AR,-38.0023,-57.5575,53.98,96,96,7.56,overcast clouds
34,Newala,TZ,-10.9431,39.2787,58.66,91,9,3.8,clear sky
35,Gurupi,BR,-11.7292,-49.0686,82.18,19,6,4.32,clear sky
36,Tura,RU,64.2833,100.25,41.81,88,100,3.42,light rain
37,Butaritari,KI,3.0707,172.7902,83.26,65,4,11.83,clear sky
38,Luanda,AO,-8.8368,13.2343,68.0,94,40,4.61,scattered clouds
39,Qaanaaq,GL,77.484,-69.3632,10.53,81,18,7.85,few clouds
40,Puerto Ayora,EC,-0.7393,-90.3518,68.56,93,49,3.0,scattered clouds
41,Namatanai,PG,-3.6667,152.4333,83.12,75,59,5.93,light rain
42,Vaini,TO,-21.2,-175.2,72.9,67,62,14.63,broken clouds
