,City,Country,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Current Description
0,Rikitea,PF,-23.1203,-134.9692,74.01,76,10,12.03,clear sky
1,Ancud,CL,-41.8697,-73.8203,46.42,89,32,5.44,scattered clouds
2,Tilichiki,RU,60.4667,166.1,48.85,84,100,11.52,light rain
3,Yar-Sale,RU,66.8333,70.8333,30.74,91,31,19.66,scattered clouds
4,Launceston,AU,-41.45,147.1667,55.62,54,40,8.99,scattered clouds
5,Dingle,IE,52.1408,-10.2689,58.69,91,86,8.93,overcast clouds
6,Busselton,AU,-33.65,115.3333,57.04,57,0,13.98,clear sky
7,Victor Harbor,AU,-35.5667,138.6167,58.91,79,45,3.0,light rain
8,Mount Gambier,AU,-37.8333,140.7667,45.12,86,100,17.16,overcast clouds
9,Skjervøy,NO,70.0311,20.9714,45.9,69,100,12.97,overcast clouds
10,Saskylakh,RU,71.9167,114.0833,31.77,84,100,8.3,overcast clouds
11,Moerai,PF,-22.4333,-151.3333,74.61,75,0,14.54,clear sky
12,Krasnosel'kup,RU,65.7,82.4667,38.25,92,100,8.1,overcast clouds
13,Mar del Plata,AR,-38.0023,-57.5575,55.42,100,90,5.75,overcast clouds
14,Thompson,CA,55.7435,-97.8558,52.36,78,82,12.71,broken clouds
15,Faanui,PF,-16.4833,-151.75,78.78,73,62,18.81,light rain
16,Tam Ky,VN,15.5667,108.4833,87.78,78,100,3.58,overcast clouds
17,Puerto Escondido,MX,15.85,-97.0667,80.83,81,100,2.37,overcast clouds
18,Rutland,US,43.6167,-73.0162,54.72,95,1,5.75,clear sky
19,Albany,AU,-35.0169,117.8917,57.72,57,61,11.43,broken clouds
20,Nikolskoye,RU,59.7035,30.7861,40.89,82,100,8.75,overcast clouds
21,Hilo,US,19.7297,-155.09,82.27,78,90,4.61,overcast clouds
22,Karratha,AU,-20.7377,116.8463,87.57,13,3,23.0,clear sky
23,Klaksvík,FO,62.2266,-6.589,50.92,87,11,17.85,few clouds
